id,client_name,client_address,email
1,WOW Diamond,,
2,"Antonio (Raja)
Gibraltar","Antonio Diamond Boutique
47, 49 Main St,
Gibraltar GX11
1AA, Gibraltar.
+350 200 74105
",
3,"Herr koc, Munich",,
4,"Di Corino,Alba (EXTREMI Gioielli)","EXTREMI Gioielli
By Carino
Via Vittorio Emanuele, 27 12051 Alba(CN)
Tel. 0173 440933",
5,Juwelier Arndt Beriln,"Juwelier Arndt
Schlossstrasse 102
12163 Berlin
UmSt: 293672432
diamant@gmx.com
+491734547678",diamant@gmx.com
6,Moris Berlin,"Ludwigkirchstraße 4, 
10719 Berlin",
7,Gorra Dario Csas ,"Via Giolitti, 8 - 10123 TORINO
Tel. /fax 011.545727 
dariogorra@hotmail.com 
CF/PI 01057880013",
8,Dililla Gioielli,,
9,Valoro Valenzza,,
10,COR,"Igor Cortaldo 
CEO +39 3292466239 
corgioielli@gmail.com 
corgioielli.it 
IVOR srl 
Corso Raffaello, 5E 
Torino 
P.iva 11862360010",
11,VI & OLLI Diamonds s.r.l.,"VI & OLLI DIAMONDS s.r.l.
Via Alfieri n. 9 
10121 TORINO
Part. IVA 12006460013
USAL8PV codice univoco",
12,BABBINI gioielli,"Via Monginevro,89
10141 TORINO
P.IVA 02334030018
babbinigioielli@gmail.com
",babbinigioielli@gmail.com
13,RICCI GIOIELLI,"Corso Garibaldi, 67/69
15048 Valenza(AL)
P.IVA 01170680068
Tel. 0131 941101
331/2144154
338/2609639",riccigioiellisas@gmail.com
14,D V GIOIELLI,Davide Vaccarono,
15,Felicia,"Felicia Strebl - Cesa, 
Emil-Geis-Straße 2 - im Kurz'nhof, 
82031 Grünwald",info@juwelier-felicia-cesa.com
16,JB Juwelier Botschal,"Marktstrasse 3
83646 Bad Tölz
Tel: 080418088874",
,,,info@juwelier-bad-toelz.de
17,Juwelier Grützmacher,"Clara-zetkin-strasse 16,
16547 Berlin",
18,Juwelier Aras,"Bahnhofstraße 23, 
8304 Wallisellen 
044 830 05 61 
CH-020.4.087 .209-5",info@juwelier-aras.ch
19,"Ramanbhai 
portugal","69    Maresfield
Croydon
London
CR0 5UB
0044-740355556

The Saffron Mantra Indian Restaurant 
Travessa Amorim Benevides 9 Loja A,
8100-705
Loule
Algarve
Portugal.",
20,Shivaay s.r.l.,"Shivaay jewels srl
via costatino nigra 46 bis b
10147 - Torino (TO) - IT
VAT NO: IT13152420017
Tax Code: 13152420017
shivaayjewels.eu@gmail.com",shivaayjewels.eu@gmail.com
21,"Juwelier Engels
Phia ","Otto-Schmirgal-Straße 3
10319 Berlin",
22,"Juwelier Barok

Andy - Phia Husband
A10 Center Wildau","Chausseestraße 1
15745 Wildau.",
23,Edel & Zeit Schmuck GmbH,"BaselerStr. 2-4,
12205 Berlin
Tel: 030/81195587
edelundzeit@web.de
www.juwelier-steglitz.de",edelundzeit@web.de
24,Juwelier Bielawski,"Berkaer Str. 44
14199 Berlin
Tel: 030/28470759
p.bielawski87@googlemail.com",p.bielawski87@googlemail.com
25,Pasian Rivalta,"Via Ferdinando Bocca 30
Rivalta di Torino (TO)
P.I. 09333260017
C.F. PSNRCE75T66L219G
pasian.rivalta@gmail.com",pasian.rivalta@gmail.com
26,,,
27,,,
28,,,
29,,,
30,,,
